3.847	62406	4.47
3.850	64355	4.61
3.853	65227	4.67
3.857	65908	4.72
3.860	66750	4.78
3.863	67457	4.83
3.867	68085	4.88
3.870	69833	5.00
3.873	72157	5.17
3.877	74683	5.35
3.880	77764	5.57
3.883	80403	5.76
3.887	83227	5.96
3.890	84820	6.07
3.893	84392	6.04
3.897	82433	5.90
3.900	80785	5.78
3.903	78096	5.59
3.907	74393	5.33
3.910	71445	5.12
3.913	69734	4.99
3.917	70362	5.04
3.920	74148	5.31
3.923	79785	5.71
3.927	87928	6.30
3.930	98087	7.02
3.933	107082	7.67
3.937	112772	8.07
3.940	114990	8.23
3.943	115179	8.25
3.947	112879	8.08
3.950	107042	7.66
3.953	98048	7.02
3.957	86331	6.18
3.960	73235	5.24
3.963	60617	4.34
3.967	49813	3.57
3.970	41048	2.94
3.973	34999	2.51
3.977	30140	2.16
3.980	27931	2.00
3.983	27510	1.97
3.987	27438	1.96
3.990	27714	1.98
3.993	28138	2.01
3.997	29629	2.12
4.000	31394	2.25
4.003	33353	2.39
4.007	35535	2.54
4.010	40676	2.91
4.013	47218	3.38
4.017	54889	3.93
4.020	63308	4.53
4.023	72601	5.20
4.027	81321	5.82
4.030	88940	6.37
4.033	93527	6.70
4.037	94674	6.78
4.040	94492	6.77
4.043	93431	6.69
4.047	89405	6.40
4.050	82220	5.89
4.053	73528	5.26
4.057	66475	4.76
4.060	60710	4.35
4.063	55776	3.99
4.067	51619	3.70
4.070	48870	3.50
4.073	48864	3.50
4.077	51329	3.68
4.080	54490	3.90
4.083	59486	4.26
4.087	65819	4.71
4.090	72780	5.21
4.093	80726	5.78
4.097	89306	6.39
4.100	98516	7.05
4.103	107437	7.69
4.107	114396	8.19
4.110	118640	8.49
4.113	119476	8.55
4.117	118022	8.45
4.120	112194	8.03
4.123	105145	7.53
4.127	97487	6.98
4.130	88581	6.34
4.133	80638	5.77
4.137	73740	5.28
4.140	67795	4.85
4.143	64582	4.62
4.147	61895	4.43
4.150	58933	4.22
4.153	56026	4.01
4.157	53890	3.86
4.160	51435	3.68
4.163	48751	3.49
4.167	44826	3.21
4.170	41220	2.95
4.173	37583	2.69
4.177	33406	2.39
4.180	28743	2.06
4.183	24171	1.73
4.187	20975	1.50
4.190	18109	1.30
4.193	15079	1.08
4.197	12569	0.90
4.200	11113	0.80
4.203	10852	0.78
4.207	10940	0.78
4.210	11554	0.83
4.213	12987	0.93
4.217	15348	1.10
4.220	18367	1.32
4.223	21730	1.56
4.227	25391	1.82
4.230	29347	2.10
4.233	33639	2.41
4.237	38501	2.76
4.240	44322	3.17
4.243	50358	3.61
4.247	57178	4.09
4.250	64312	4.60
4.253	71230	5.10
4.257	78352	5.61
4.260	85330	6.11
4.263	92731	6.64
4.267	102061	7.31
4.270	112319	8.04
4.273	123618	8.85
4.277	134820	9.65
4.280	143165	10.25
4.283	147806	10.58
4.287	149917	10.73
4.290	147786	10.58
4.293	138635	9.93
4.297	124392	8.91
4.300	110443	7.91
4.303	98580	7.06
4.307	89054	6.38
4.310	81358	5.83
4.313	75810	5.43
4.317	71309	5.11
4.320	67387	4.83
4.323	62695	4.49
4.327	56428	4.04
4.330	49590	3.55
4.333	42908	3.07
4.337	36230	2.59
4.340	30258	2.17
4.343	25606	1.83
4.347	21782	1.56
4.350	19172	1.37
4.353	16714	1.20
4.357	15982	1.14
4.360	15905	1.14
4.363	15949	1.14
4.367	16255	1.16
4.370	18338	1.31
4.373	19923	1.43
4.377	21001	1.50
4.380	22250	1.59
4.383	24223	1.73
4.387	25704	1.84
4.390	26401	1.89
4.393	27186	1.95
4.397	28874	2.07
4.400	29991	2.15
4.403	31119	2.23
4.407	32697	2.34
4.410	34271	2.45
4.413	35954	2.57
4.417	36245	2.60
4.420	36043	2.58
4.423	34296	2.46
4.427	33353	2.39
4.430	32286	2.31
4.433	29772	2.13
4.437	26371	1.89
4.440	23619	1.69
4.443	21874	1.57
4.447	20725	1.48
4.450	19968	1.43
4.453	19822	1.42
4.457	19995	1.43
4.460	20520	1.47
4.463	21463	1.54
4.467	22934	1.64
4.470	25198	1.80
4.473	27544	1.97
4.477	30650	2.19
4.480	34293	2.46
4.483	37874	2.71
4.487	41776	2.99
4.490	45381	3.25
4.493	47969	3.43
4.497	50192	3.59
4.500	51865	3.71
4.503	52446	3.76
4.507	53215	3.81
4.510	54614	3.91
4.513	55852	4.00
4.517	57197	4.10
4.520	58832	4.21
4.523	60289	4.32
4.527	62765	4.49
4.530	66337	4.75
4.533	70374	5.04
4.537	74139	5.31
4.540	77396	5.54
4.543	81616	5.84
4.547	86625	6.20
4.550	91991	6.59
4.553	98201	7.03
4.557	104689	7.50
4.560	111531	7.99
4.563	118914	8.51
4.567	127538	9.13
4.570	137182	9.82
4.573	146936	10.52
4.577	155867	11.16
4.580	163363	11.70
4.583	168891	12.09
4.587	170243	12.19
4.590	168931	12.10
4.593	164206	11.76
4.597	156068	11.17
4.600	146762	10.51
4.603	135942	9.73
4.607	123898	8.87
4.610	112446	8.05
4.613	102638	7.35
4.617	93511	6.70
4.620	86643	6.20
4.623	81466	5.83
4.627	75704	5.42
4.630	71571	5.12
4.633	67254	4.82
4.637	62950	4.51
4.640	58973	4.22
4.643	56083	4.02
4.647	55121	3.95
4.650	55264	3.96
4.653	56775	4.07
4.657	60762	4.35
4.660	67178	4.81
4.663	75231	5.39
4.667	81544	5.84
4.670	86233	6.17
4.673	88013	6.30
4.677	88113	6.31
4.680	86387	6.19
4.683	81528	5.84
4.687	75062	5.37
4.690	66968	4.80
4.693	58999	4.22
4.697	52306	3.75
4.700	46255	3.31
4.703	41721	2.99
4.707	40080	2.87
4.710	41025	2.94
4.713	46162	3.31
4.717	54423	3.90
4.720	66716	4.78
4.723	81265	5.82
4.727	95122	6.81
4.730	108628	7.78
4.733	119983	8.59
4.737	128696	9.22
4.740	133181	9.54
4.743	132527	9.49
4.747	127691	9.14
4.750	119924	8.59
4.753	108845	7.79
4.757	97093	6.95
4.760	84149	6.03
4.763	71201	5.10
4.767	61762	4.42
4.770	55692	3.99
4.773	53597	3.84
4.777	54440	3.90
4.780	59370	4.25
4.783	68044	4.87
4.787	79497	5.69
4.790	93463	6.69
4.793	110295	7.90
4.797	131292	9.40
4.800	151834	10.87
4.803	170675	12.22
4.807	190974	13.67
4.810	210293	15.06
4.813	224615	16.08
4.817	233124	16.69
4.820	233366	16.71
4.823	225902	16.18
4.827	216886	15.53
4.830	209824	15.02
4.833	198398	14.21
4.837	182515	13.07
4.840	165035	11.82
