[Header]
Data File Name	D:\助燃剂标准品检验\2#煤油\千分一2#煤-乙.qgd
Output Date	2018/4/17
Output Time	17:58:19

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	8700
Start Time(min)	3.000
End Time(min)	31.997
Ret.Time	Absolute Intensity	Relative Intensity
7.013	576694	10.35
7.017	628870	11.29
7.020	712419	12.79
7.023	828253	14.87
7.027	969723	17.41
7.030	1131328	20.31
7.033	1301519	23.36
7.037	1455641	26.13
7.040	1562244	28.04
7.043	1596148	28.65
7.047	1558131	27.97
7.050	1457978	26.17
7.053	1311867	23.55
7.057	1141405	20.49
7.060	963820	17.30
7.063	804975	14.45
7.067	680013	12.21
7.070	589624	10.58
7.073	534742	9.60
7.077	509893	9.15
7.080	505828	9.08
7.083	511561	9.18
7.087	518870	9.31
7.090	523444	9.40
7.093	523556	9.40
7.097	522708	9.38
7.100	514578	9.24
7.103	501209	9.00
7.107	491197	8.82
7.110	491196	8.82
7.113	507084	9.10
7.117	544695	9.78
7.120	600455	10.78
7.123	666994	11.97
7.127	742228	13.32
7.130	826201	14.83
7.133	922264	16.56
7.137	1023257	18.37
7.140	1114680	20.01
7.143	1190081	21.36
7.147	1242475	22.30
7.150	1259304	22.61
7.153	1228672	22.06
7.157	1152179	20.68
7.160	1052088	18.89
7.163	945178	16.97
7.167	837589	15.04
7.170	744220	13.36
7.173	676821	12.15
7.177	636815	11.43
7.180	619515	11.12
7.183	618433	11.10
7.187	628340	11.28
7.190	643741	11.56
7.193	658003	11.81
7.197	666208	11.96
7.200	662847	11.90
7.203	647085	11.62
7.207	620874	11.15
7.210	584949	10.50
7.213	540959	9.71
7.217	494603	8.88
7.220	456449	8.19
7.223	432594	7.77
7.227	420970	7.56
7.230	420962	7.56
7.233	430091	7.72
7.237	444864	7.99
7.240	464744	8.34
7.243	486193	8.73
7.247	506222	9.09
7.250	524125	9.41
7.253	534265	9.59
7.257	534390	9.59
7.260	532141	9.55
7.263	536262	9.63
7.267	553759	9.94
7.270	586870	10.53
7.273	636706	11.43
7.277	692596	12.43
7.280	746239	13.40
7.283	794236	14.26
7.287	831745	14.93
7.290	852920	15.31
7.293	850118	15.26
7.297	824596	14.80
7.300	789415	14.17
7.303	751706	13.49
7.307	710249	12.75
7.310	672706	12.08
7.313	643574	11.55
7.317	619650	11.12
7.320	603691	10.84
7.323	603788	10.84
7.327	629081	11.29
7.330	672713	12.08
7.333	725501	13.02
7.337	784046	14.07
7.340	843643	15.14
7.343	890713	15.99
7.347	910583	16.35
7.350	896935	16.10
7.353	856922	15.38
7.357	799793	14.36
7.360	731506	13.13
7.363	656891	11.79
7.367	583599	10.48
7.370	519642	9.33
7.373	472599	8.48
7.377	444029	7.97
7.380	427666	7.68
7.383	416490	7.48
7.387	414148	7.43
7.390	419892	7.54
7.393	429122	7.70
7.397	437015	7.84
7.400	442845	7.95
7.403	447303	8.03
7.407	453193	8.14
7.410	455261	8.17
7.413	450816	8.09
7.417	444832	7.99
7.420	437009	7.84
7.423	424473	7.62
7.427	414567	7.44
7.430	415575	7.46
7.433	429033	7.70
7.437	451145	8.10
7.440	484243	8.69
7.443	525614	9.44
7.447	568147	10.20
7.450	608164	10.92
7.453	646646	11.61
7.457	681914	12.24
7.460	712494	12.79
7.463	743543	13.35
7.467	783427	14.06
7.470	839132	15.06
7.473	910611	16.35
7.477	988114	17.74
7.480	1057899	18.99
7.483	1109218	19.91
7.487	1138001	20.43
7.490	1137344	20.42
7.493	1102072	19.78
7.497	1050904	18.86
7.500	997944	17.91
7.503	937250	16.82
7.507	870427	15.62
7.510	813466	14.60
7.513	778566	13.98
7.517	763869	13.71
7.520	765408	13.74
7.523	792998	14.23
7.527	847645	15.22
7.530	911252	16.36
7.533	972472	17.46
7.537	1023835	18.38
7.540	1052725	18.90
7.543	1048851	18.83
7.547	1008814	18.11
7.550	943435	16.94
7.553	864283	15.51
7.557	783980	14.07
7.560	722415	12.97
7.563	684160	12.28
7.567	668539	12.00
7.570	677899	12.17
7.573	702347	12.61
7.577	731881	13.14
7.580	763793	13.71
7.583	799933	14.36
7.587	856069	15.37
7.590	965810	17.34
7.593	1175227	21.10
7.597	1531170	27.49
7.600	2058851	36.96
7.603	2724270	48.90
7.607	3463916	62.18
7.610	4204569	75.47
7.613	4839388	86.87
7.617	5264186	94.50
7.620	5391552	96.78
7.623	5223989	93.77
7.627	4818319	86.49
7.630	4188156	75.18
7.633	3414050	61.28
7.637	2650927	47.59
7.640	2019096	36.24
7.643	1554349	27.90
7.647	1242815	22.31
7.650	1056379	18.96
7.653	955176	17.15
7.657	904384	16.23
7.660	874260	15.69
7.663	853405	15.32
7.667	840193	15.08
7.670	825383	14.82
7.673	798258	14.33
7.677	757133	13.59
7.680	709423	12.73
7.683	659029	11.83
7.687	612134	10.99
7.690	570485	10.24
7.693	532384	9.56
7.697	502068	9.01
7.700	477438	8.57
7.703	456889	8.20
7.707	440463	7.91
7.710	426290	7.65
7.713	414928	7.45
7.717	405278	7.28
7.720	399151	7.17
7.723	400481	7.19
7.727	405902	7.29
7.730	414966	7.45
7.733	426636	7.66
7.737	437241	7.85
7.740	446400	8.01
7.743	454060	8.15
7.747	459342	8.25
7.750	465704	8.36
7.753	475311	8.53
7.757	484282	8.69
7.760	486708	8.74
7.763	486434	8.73
7.767	485664	8.72
7.770	481361	8.64
7.773	472760	8.49
7.777	469088	8.42
7.780	476744	8.56
7.783	496843	8.92
7.787	546599	9.81
7.790	642466	11.53
7.793	781347	14.03
7.797	960269	17.24
7.800	1177806	21.14
7.803	1405621	25.23
7.807	1601562	28.75
7.810	1724506	30.96
7.813	1755025	31.50
7.817	1700537	30.53
7.820	1564609	28.09
7.823	1363760	24.48
7.827	1139936	20.46
7.830	926158	16.63
7.833	741749	13.31
7.837	600340	10.78
7.840	504428	9.05
7.843	445227	7.99
7.847	410292	7.37
7.850	390197	7.00
7.853	378536	6.79
7.857	376139	6.75
7.860	384980	6.91
7.863	401215	7.20
7.867	419791	7.54
7.870	441083	7.92
7.873	463528	8.32
7.877	483039	8.67
7.880	490026	8.80
7.883	477633	8.57
7.887	450331	8.08
7.890	417071	7.49
7.893	384710	6.91
7.897	355615	6.38
7.900	334552	6.01
7.903	326365	5.86
7.907	331029	5.94
7.910	349017	6.27
7.913	381788	6.85
7.917	426402	7.65
7.920	478380	8.59
7.923	534278	9.59
7.927	587333	10.54
7.930	629307	11.30
7.933	656113	11.78
7.937	667584	11.98
7.940	662556	11.89
7.943	642613	11.54
7.947	613467	11.01
7.950	576078	10.34
7.953	533969	9.59
7.957	494437	8.88
7.960	456275	8.19
7.963	416976	7.49
7.967	379775	6.82
7.970	351089	6.30
7.973	331099	5.94
7.977	316933	5.69
7.980	307602	5.52
7.983	301798	5.42
7.987	297498	5.34
7.990	292343	5.25
7.993	289177	5.19
7.997	290038	5.21
8.000	297999	5.35
8.003	312482	5.61
8.007	332582	5.97
8.010	359484	6.45
8.013	389636	6.99
8.017	418003	7.50
8.020	446598	8.02
8.023	477953	8.58
8.027	513158	9.21
8.030	559551	10.04
8.033	618282	11.10
8.037	689681	12.38
8.040	777235	13.95
8.043	871752	15.65
8.047	946448	16.99
8.050	985548	17.69
8.053	997670	17.91
8.057	979425	17.58
8.060	920673	16.53
8.063	834923	14.99
8.067	737398	13.24
8.070	632535	11.35
8.073	533885	9.58
8.077	452860	8.13
8.080	390098	7.00
8.083	347004	6.23
8.087	318843	5.72
8.090	300997	5.40
8.093	291456	5.23
8.097	288273	5.17
8.100	288185	5.17
8.103	290508	5.21
8.107	296247	5.32
8.110	304059	5.46
8.113	313474	5.63
8.117	325488	5.84
8.120	337612	6.06
8.123	349079	6.27
8.127	360935	6.48
8.130	369599	6.63
8.133	374415	6.72
8.137	371853	6.68
8.140	362558	6.51
8.143	348938	6.26
8.147	332559	5.97
8.150	318816	5.72
8.153	309882	5.56
8.157	307011	5.51
8.160	315517	5.66
8.163	335337	6.02
8.167	362581	6.51
8.170	394594	7.08
8.173	426146	7.65
8.177	451872	8.11
8.180	465322	8.35
8.183	464079	8.33
8.187	451637	8.11
8.190	431763	7.75
8.193	410253	7.36
8.197	389600	6.99
8.200	375890	6.75
8.203	375831	6.75
8.207	389461	6.99
8.210	412518	7.40
8.213	442516	7.94
8.217	479743	8.61
8.220	517983	9.30
8.223	549427	9.86
8.227	573958	10.30
8.230	587792	10.55
8.233	584505	10.49
8.237	569169	10.22
8.240	546978	9.82
8.243	516927	9.28
8.247	484021	8.69
8.250	450373	8.08
8.253	414736	7.44
8.257	380125	6.82
8.260	346988	6.23
8.263	314662	5.65
8.267	284962	5.12
8.270	263336	4.73
8.273	255208	4.58
8.277	260952	4.68
8.280	279090	5.01
8.283	310893	5.58
8.287	359261	6.45
8.290	423209	7.60
8.293	495593	8.90
8.297	569097	10.22
8.300	638993	11.47
8.303	697132	12.51
8.307	738216	13.25
8.310	763032	13.70
8.313	766326	13.76
8.317	745495	13.38
8.320	708696	12.72
8.323	665895	11.95
8.327	612858	11.00
8.330	547467	9.83
8.333	480195	8.62
8.337	418708	7.52
8.340	372861	6.69
8.343	343061	6.16
8.347	327169	5.87
8.350	327169	5.87
8.353	342343	6.15
8.357	364175	6.54
8.360	388426	6.97
8.363	411247	7.38
8.367	429865	7.72
8.370	441881	7.93
8.373	441564	7.93
8.377	426149	7.65
8.380	407945	7.32
8.383	391200	7.02
8.387	377610	6.78
8.390	370607	6.65
8.393	370587	6.65
8.397	373380	6.70
8.400	375928	6.75
8.403	373273	6.70
8.407	365970	6.57
8.410	358533	6.44
8.413	354868	6.37
8.417	360047	6.46
8.420	377740	6.78
8.423	408322	7.33
8.427	447628	8.04
8.430	490971	8.81
8.433	533251	9.57
8.437	563492	10.12
8.440	578185	10.38
8.443	583157	10.47
8.447	580549	10.42
8.450	562540	10.10
8.453	533693	9.58
8.457	503478	9.04
8.460	471819	8.47
8.463	443223	7.96
8.467	421135	7.56
8.470	401351	7.20
8.473	383041	6.88
8.477	364679	6.55
8.480	345242	6.20
8.483	330740	5.94
8.487	324425	5.82
8.490	324939	5.83
8.493	337585	6.06
8.497	364827	6.55
8.500	401335	7.20
8.503	440013	7.90
8.507	477948	8.58
8.510	503535	9.04
8.513	507963	9.12
8.517	496865	8.92
8.520	472187	8.48
8.523	434939	7.81
8.527	391685	7.03
8.530	350231	6.29
8.533	313819	5.63
8.537	282824	5.08
8.540	258858	4.65
8.543	244074	4.38
8.547	235826	4.23
8.550	232782	4.18
8.553	234774	4.21
8.557	238413	4.28
8.560	241860	4.34
8.563	246378	4.42
8.567	255042	4.58
8.570	271964	4.88
8.573	303592	5.45
8.577	355463	6.38
8.580	429082	7.70
8.583	521162	9.36
8.587	622018	11.17
8.590	719324	12.91
8.593	787879	14.14
8.597	808165	14.51
8.600	792250	14.22
8.603	745270	13.38
8.607	671245	12.05
8.610	589218	10.58
8.613	513518	9.22
8.617	455552	8.18
8.620	418040	7.50
8.623	398750	7.16
8.627	396159	7.11
8.630	403485	7.24
8.633	419858	7.54
8.637	439803	7.89
8.640	451917	8.11
8.643	453660	8.14
8.647	444212	7.97
8.650	425412	7.64
8.653	403468	7.24
8.657	378158	6.79
8.660	355459	6.38
8.663	339934	6.10
8.667	334737	6.01
8.670	347633	6.24
8.673	383642	6.89
8.677	444209	7.97
8.680	532931	9.57
8.683	651145	11.69
8.687	793753	14.25
8.690	956503	17.17
8.693	1130152	20.29
8.697	1293812	23.22
8.700	1426970	25.62
8.703	1510544	27.12
8.707	1514007	27.18
8.710	1421940	25.52
8.713	1258555	22.59
8.717	1062902	19.08
8.720	860650	15.45
8.723	675849	12.13
8.727	540221	9.70
8.730	461931	8.29
8.733	425267	7.63
8.737	414089	7.43
8.740	415423	7.46
8.743	418548	7.51
8.747	415527	7.46
8.750	406306	7.29
8.753	392226	7.04
8.757	377660	6.78
8.760	366083	6.57
8.763	361010	6.48
8.767	362316	6.50
8.770	365599	6.56
8.773	367018	6.59
8.777	365532	6.56
8.780	356088	6.39
8.783	342417	6.15
8.787	327620	5.88
8.790	311906	5.60
8.793	298703	5.36
8.797	288120	5.17
8.800	279438	5.02
8.803	276839	4.97
8.807	277013	4.97
8.810	277229	4.98
8.813	277894	4.99
8.817	279048	5.01
8.820	279624	5.02
8.823	278134	4.99
8.827	272398	4.89
8.830	266043	4.78
8.833	260726	4.68
8.837	255637	4.59
8.840	251566	4.52
8.843	248764	4.47
8.847	247368	4.44
8.850	248858	4.47
8.853	259386	4.66
8.857	278186	4.99
8.860	304350	5.46
8.863	342028	6.14
8.867	392778	7.05
8.870	454215	8.15
8.873	519297	9.32
8.877	581265	10.43
8.880	632297	11.35
8.883	659426	11.84
8.887	654895	11.76
8.890	620027	11.13
8.893	566077	10.16
8.897	506937	9.10
8.900	447288	8.03
8.903	391169	7.02
8.907	344794	6.19
8.910	314051	5.64
8.913	297707	5.34
8.917	291192	5.23
8.920	289844	5.20
8.923	291842	5.24
8.927	295543	5.31
8.930	293978	5.28
8.933	285062	5.12
8.937	270642	4.86
8.940	251681	4.52
8.943	231262	4.15
8.947	211653	3.80
8.950	197660	3.55
8.953	189473	3.40
8.957	187797	3.37
8.960	187778	3.37
8.963	188930	3.39
8.967	194370	3.49
8.970	202838	3.64
8.973	211475	3.80
8.977	219187	3.93
8.980	225804	4.05
8.983	230057	4.13
8.987	232982	4.18
8.990	234007	4.20
8.993	233178	4.19
8.997	234749	4.21
9.000	244323	4.39
9.003	257084	4.61
9.007	271036	4.87
9.010	287116	5.15
9.013	302441	5.43
9.017	314001	5.64
9.020	323723	5.81
9.023	333937	5.99
9.027	342845	6.15
9.030	347353	6.24
9.033	347503	6.24
9.037	345009	6.19
9.040	339210	6.09
9.043	333837	5.99
9.047	327882	5.89
9.050	319030	5.73
9.053	308257	5.53
9.057	298721	5.36
9.060	289892	5.20
9.063	279602	5.02
9.067	271206	4.87
9.070	270484	4.86
9.073	272836	4.90
9.077	277414	4.98
9.080	285947	5.13
9.083	294776	5.29
9.087	302420	5.43
9.090	311990	5.60
9.093	322521	5.79
9.097	337251	6.05
9.100	373611	6.71
9.103	454439	8.16
9.107	609971	10.95
9.110	867490	15.57
9.113	1239822	22.26
9.117	1724109	30.95
9.120	2285945	41.03
9.123	2845154	51.07
9.127	3289079	59.04
9.130	3522266	63.23
9.133	3492018	62.68
9.137	3215730	57.72
9.140	2755970	49.47
9.143	2187869	39.27
9.147	1615097	28.99
9.150	1134761	20.37
9.153	788709	14.16
9.157	567686	10.19
9.160	436195	7.83
9.163	361211	6.48
9.167	320156	5.75
9.170	296913	5.33
9.173	283177	5.08
9.177	273352	4.91
9.180	266127	4.78
9.183	258864	4.65
9.187	250908	4.50
9.190	243081	4.36
9.193	239195	4.29
9.197	241300	4.33
9.200	248889	4.47
9.203	258570	4.64
9.207	269515	4.84
9.210	279226	5.01
9.213	284151	5.10
9.217	283828	5.09
9.220	276008	4.95
9.223	263513	4.73
9.227	250878	4.50
9.230	240888	4.32
9.233	236152	4.24
9.237	241821	4.34
9.240	258333	4.64
9.243	281972	5.06
9.247	311732	5.60
9.250	347632	6.24
9.253	390791	7.01
9.257	443493	7.96
9.260	502104	9.01
9.263	560159	10.06
9.267	608627	10.93
9.270	638638	11.46
9.273	645893	11.59
9.277	629703	11.30
9.280	592484	10.64
9.283	537645	9.65
9.287	475500	8.54
9.290	416294	7.47
9.293	361452	6.49
9.297	315252	5.66
9.300	282106	5.06
9.303	261956	4.70
9.307	250748	4.50
9.310	244036	4.38
9.313	239379	4.30
9.317	235776	4.23
9.320	231181	4.15
9.323	225285	4.04
9.327	221862	3.98
9.330	220782	3.96
9.333	218035	3.91
9.337	214683	3.85
9.340	212365	3.81
9.343	216166	3.88
9.347	225171	4.04
9.350	237206	4.26
9.353	253246	4.55
9.357	272205	4.89
9.360	290554	5.22
9.363	302754	5.43
9.367	305641	5.49
9.370	298879	5.37
9.373	284252	5.10
9.377	266351	4.78
9.380	247778	4.45
9.383	233037	4.18
9.387	225049	4.04
9.390	224162	4.02
9.393	228609	4.10
9.397	237387	4.26
9.400	247623	4.45
9.403	255082	4.58
9.407	256233	4.60
9.410	253035	4.54
9.413	243710	4.37
9.417	228197	4.10
9.420	212431	3.81
9.423	200136	3.59
9.427	191862	3.44
9.430	187448	3.36
9.433	187460	3.37
9.437	192211	3.45
9.440	197522	3.55
9.443	199365	3.58
9.447	197461	3.54
9.450	194440	3.49
9.453	193126	3.47
9.457	193598	3.48
9.460	194785	3.50
9.463	201299	3.61
9.467	214757	3.86
9.470	232974	4.18
9.473	252729	4.54
9.477	271307	4.87
9.480	290922	5.22
9.483	311573	5.59
9.487	335136	6.02
9.490	367296	6.59
9.493	406045	7.29
9.497	445686	8.00
9.500	481889	8.65
9.503	505609	9.08
9.507	511921	9.19
9.510	503603	9.04
9.513	483968	8.69
9.517	452383	8.12
9.520	413470	7.42
9.523	374348	6.72
9.527	337728	6.06
9.530	304070	5.46
9.533	277446	4.98
9.537	256920	4.61
9.540	240287	4.31
9.543	226606	4.07
9.547	214133	3.84
9.550	201564	3.62
9.553	191926	3.45
9.557	186966	3.36
9.560	186694	3.35
9.563	187014	3.36
9.567	191160	3.43
9.570	198119	3.56
9.573	205327	3.69
9.577	211480	3.80
9.580	218053	3.91
9.583	224404	4.03
9.587	229794	4.12
9.590	232183	4.17
9.593	230105	4.13
9.597	226210	4.06
9.600	223799	4.02
9.603	223427	4.01
9.607	221357	3.97
9.610	217845	3.91
9.613	212963	3.82
9.617	208567	3.74
9.620	205019	3.68
9.623	201159	3.61
9.627	197477	3.54
9.630	193379	3.47
9.633	187212	3.36
9.637	180267	3.24
9.640	176205	3.16
9.643	176155	3.16
9.647	177193	3.18
9.650	179938	3.23
9.653	180410	3.24
9.657	180765	3.24
9.660	180944	3.25
9.663	180642	3.24
9.667	180738	3.24
9.670	183290	3.29
9.673	189091	3.39
9.677	197295	3.54
9.680	204993	3.68
9.683	211359	3.79
9.687	215589	3.87
9.690	216542	3.89
9.693	212692	3.82
9.697	204956	3.68
9.700	196243	3.52
9.703	188562	3.38
9.707	183264	3.29
9.710	180524	3.24
9.713	179607	3.22
9.717	180650	3.24
9.720	183365	3.29
9.723	185107	3.32
9.727	184308	3.31
9.730	181781	3.26
9.733	179267	3.22
9.737	176496	3.17
9.740	176358	3.17
9.743	176817	3.17
9.747	179549	3.22
9.750	185515	3.33
9.753	195756	3.51
9.757	204985	3.68
9.760	217112	3.90
9.763	232106	4.17
9.767	243650	4.37
9.770	249443	4.48
9.773	252088	4.53
9.777	248862	4.47
9.780	240962	4.33
9.783	231178	4.15
9.787	218364	3.92
9.790	204948	3.68
9.793	192883	3.46
9.797	183315	3.29
9.800	176528	3.17
9.803	174083	3.12
9.807	178742	3.21
9.810	193246	3.47
9.813	220130	3.95
9.817	257623	4.62
9.820	306248	5.50
9.823	363060	6.52
9.827	420446	7.55
9.830	470270	8.44
9.833	502547	9.02
9.837	508974	9.14
9.840	489147	8.78
9.843	445505	8.00
9.847	387215	6.95
9.850	330983	5.94
9.853	285203	5.12
9.857	252539	4.53
9.860	233524	4.19
9.863	227014	4.08
9.867	231142	4.15
9.870	238491	4.28
9.873	243495	4.37
9.877	245274	4.40
9.880	243496	4.37
9.883	237362	4.26
9.887	228515	4.10
9.890	220731	3.96
9.893	213073	3.82
9.897	205643	3.69
9.900	201604	3.62
9.903	200903	3.61
9.907	203112	3.65
9.910	211500	3.80
9.913	224782	4.03
9.917	240997	4.33
9.920	258144	4.63
9.923	271923	4.88
9.927	279391	5.02
9.930	283718	5.09
9.933	289887	5.20
9.937	301869	5.42
9.940	318110	5.71
9.943	334106	6.00
9.947	348273	6.25
9.950	357716	6.42
9.953	353779	6.35
9.957	331510	5.95
9.960	298536	5.36
9.963	263449	4.73
9.967	230226	4.13
9.970	203089	3.65
9.973	184093	3.30
9.977	171099	3.07
9.980	163759	2.94
9.983	158824	2.85
9.987	154981	2.78
9.990	154545	2.77
9.993	152533	2.74
9.997	149710	2.69
10.000	149733	2.69
10.003	154869	2.78
10.007	164952	2.96
10.010	184071	3.30
10.013	217357	3.90
10.017	273454	4.91
10.020	358843	6.44
10.023	462967	8.31
10.027	563589	10.12
10.030	645091	11.58
10.033	696570	12.50
10.037	708592	12.72
10.040	676345	12.14
10.043	604522	10.85
10.047	510841	9.17
10.050	413908	7.43
10.053	328486	5.90
10.057	268274	4.82
10.060	232793	4.18
10.063	213474	3.83
10.067	203557	3.65
10.070	199439	3.58
10.073	197674	3.55
10.077	195204	3.50
10.080	193366	3.47
10.083	193328	3.47
10.087	195119	3.50
10.090	199788	3.59
10.093	209933	3.77
10.097	225661	4.05
10.100	244842	4.40
10.103	265580	4.77
10.107	290712	5.22
10.110	322997	5.80
10.113	364137	6.54
10.117	415707	7.46
10.120	476695	8.56
10.123	529810	9.51
10.127	559127	10.04
10.130	562456	10.10
10.133	538201	9.66
10.137	491023	8.81
10.140	431647	7.75
10.143	370041	6.64
10.147	315289	5.66
10.150	271978	4.88
10.153	239102	4.29
10.157	215698	3.87
10.160	203104	3.65
10.163	201242	3.61
10.167	213366	3.83
10.170	246305	4.42
10.173	310680	5.58
10.177	415497	7.46
10.180	562637	10.10
10.183	739594	13.28
10.187	916999	16.46
10.190	1056061	18.96
10.193	1128098	20.25
10.197	1120387	20.11
10.200	1020958	18.33
10.203	845422	15.18
10.207	646478	11.60
10.210	467985	8.40
10.213	330971	5.94
10.217	239268	4.30
10.220	185548	3.33
10.223	156677	2.81
10.227	145188	2.61
10.230	145714	2.62
10.233	153100	2.75
10.237	162047	2.91
10.240	171158	3.07
10.243	179292	3.22
10.247	187117	3.36
10.250	192336	3.45
10.253	193214	3.47
10.257	192680	3.46
10.260	190889	3.43
10.263	187124	3.36
10.267	182059	3.27
10.270	177186	3.18
10.273	172371	3.09
10.277	167671	3.01
10.280	161642	2.90
10.283	155599	2.79
10.287	151232	2.71
10.290	146243	2.63
10.293	142633	2.56
10.297	141772	2.54
10.300	141821	2.55
10.303	142152	2.55
10.307	144033	2.59
10.310	146029	2.62
10.313	148083	2.66
10.317	153125	2.75
10.320	160662	2.88
10.323	167722	3.01
10.327	177313	3.18
10.330	187130	3.36
10.333	194098	3.48
10.337	196344	3.52
10.340	192665	3.46
10.343	187318	3.36
10.347	180636	3.24
10.350	171556	3.08
10.353	162298	2.91
10.357	155290	2.79
10.360	151655	2.72
10.363	151555	2.72
10.367	151984	2.73
10.370	155431	2.79
10.373	159725	2.87
10.377	162091	2.91
10.380	163013	2.93
10.383	165268	2.97
10.387	167594	3.01
10.390	171805	3.08
10.393	180547	3.24
10.397	192338	3.45
10.400	208641	3.75
10.403	231279	4.15
10.407	257411	4.62
10.410	279379	5.02
10.413	291524	5.23
10.417	294888	5.29
10.420	289579	5.20
10.423	276826	4.97
10.427	259456	4.66
10.430	239036	4.29
10.433	219642	3.94
10.437	205660	3.69
10.440	196536	3.53
10.443	189943	3.41
10.447	187665	3.37
10.450	188494	3.38
10.453	192338	3.45
10.457	194804	3.50
10.460	197185	3.54
10.463	197489	3.55
10.467	192701	3.46
10.470	184603	3.31
10.473	175787	3.16
10.477	167704	3.01
10.480	159899	2.87
10.483	154447	2.77
10.487	152793	2.74
10.490	153973	2.76
10.493	156717	2.81
10.497	162613	2.92
10.500	175601	3.15
10.503	198167	3.56
10.507	241124	4.33
10.510	320395	5.75
10.513	458429	8.23
10.517	685125	12.30
10.520	1037189	18.62
10.523	1502440	26.97
10.527	2028712	36.42
10.530	2567663	46.09
10.533	3034283	54.47
10.537	3319386	59.59
10.540	3363484	60.38
10.543	3170032	56.90
10.547	2757424	49.50
10.550	2180663	39.14
10.553	1584167	28.44
10.557	1092172	19.61
10.560	740006	13.28
10.563	513144	9.21
10.567	379376	6.81
10.570	304611	5.47
10.573	260071	4.67
10.577	230536	4.14
10.580	211946	3.80
10.583	197067	3.54
10.587	184683	3.32
10.590	176913	3.18
10.593	171058	3.07
10.597	166245	2.98
10.600	162546	2.92
10.603	159538	2.86
10.607	157342	2.82
10.610	157327	2.82
10.613	158578	2.85
10.617	158896	2.85
10.620	161182	2.89
10.623	166343	2.99
10.627	173841	3.12
10.630	181839	3.26
10.633	190499	3.42
10.637	202293	3.63
10.640	216714	3.89
10.643	230470	4.14
10.647	241424	4.33
10.650	249523	4.48
10.653	255829	4.59
10.657	260094	4.67
10.660	262363	4.71
10.663	260056	4.67
10.667	253946	4.56
10.670	248369	4.46
10.673	239231	4.29
10.677	226414	4.06
10.680	214997	3.86
10.683	202677	3.64
10.687	190458	3.42
10.690	180517	3.24
10.693	171302	3.07
10.697	163900	2.94
10.700	159190	2.86
10.703	158294	2.84
10.707	159061	2.86
10.710	160999	2.89
10.713	165143	2.96
10.717	171382	3.08
10.720	177182	3.18
10.723	180457	3.24
10.727	183939	3.30
10.730	188543	3.38
10.733	189909	3.41
10.737	188771	3.39
10.740	187322	3.36
10.743	183949	3.30
10.747	178354	3.20
10.750	171661	3.08
10.753	166615	2.99
10.757	160887	2.89
10.760	154928	2.78
10.763	151347	2.72
10.767	148583	2.67
10.770	146370	2.63
10.773	146252	2.63
10.777	146267	2.63
10.780	146346	2.63
10.783	148586	2.67
10.787	151371	2.72
10.790	155247	2.79
10.793	161751	2.90
10.797	173418	3.11
10.800	188848	3.39
10.803	208856	3.75
10.807	227582	4.09
10.810	242162	4.35
10.813	251512	4.51
10.817	256627	4.61
10.820	256959	4.61
10.823	256553	4.61
10.827	253631	4.55
10.830	251187	4.51
10.833	250511	4.50
10.837	251374	4.51
10.840	251131	4.51
10.843	242833	4.36
10.847	229808	4.13
10.850	215994	3.88
10.853	202540	3.64
10.857	189414	3.40
10.860	179007	3.21
10.863	170858	3.07
10.867	164911	2.96
10.870	161552	2.90
10.873	158937	2.85
10.877	155452	2.79
10.880	154303	2.77
10.883	155770	2.80
10.887	160732	2.89
10.890	164708	2.96
10.893	168188	3.02
10.897	172755	3.10
10.900	175218	3.15
10.903	174291	3.13
10.907	172220	3.09
10.910	170223	3.06
10.913	169816	3.05
10.917	170666	3.06
10.920	173327	3.11
10.923	177303	3.18
10.927	180246	3.24
10.930	185380	3.33
10.933	192199	3.45
10.937	197651	3.55
10.940	201240	3.61
10.943	202354	3.63
10.947	202863	3.64
10.950	202645	3.64
10.953	199010	3.57
10.957	193669	3.48
10.960	188487	3.38
10.963	184384	3.31
10.967	180087	3.23
10.970	177560	3.19
10.973	182547	3.28
10.977	197502	3.55
10.980	220722	3.96
10.983	250331	4.49
10.987	282675	5.07
10.990	315114	5.66
10.993	343389	6.16
10.997	360270	6.47
11.000	364125	6.54
11.003	357880	6.42
11.007	343372	6.16
11.010	318816	5.72
11.013	288145	5.17
11.017	260035	4.67
11.020	234463	4.21
11.023	210060	3.77
11.027	191383	3.44
11.030	181912	3.27
11.033	179556	3.22
11.037	182661	3.28
11.040	193642	3.48
11.043	212196	3.81
11.047	234482	4.21
11.050	261165	4.69
11.053	293935	5.28
11.057	329404	5.91
11.060	364106	6.54
11.063	394184	7.08
11.067	414174	7.43
11.070	422781	7.59
11.073	421009	7.56
11.077	405795	7.28
11.080	380659	6.83
11.083	351246	6.31
11.087	314999	5.65
11.090	272302	4.89
11.093	231950	4.16
11.097	200203	3.59
11.100	175152	3.14
11.103	156094	2.80
11.107	145443	2.61
11.110	141439	2.54
11.113	141347	2.54
11.117	141562	2.54
11.120	144733	2.60
11.123	148220	2.66
11.127	150202	2.70
11.130	150476	2.70
11.133	150106	2.69
11.137	148272	2.66
11.140	148365	2.66
11.143	152782	2.74
11.147	159668	2.87
11.150	168297	3.02
11.153	178293	3.20
11.157	188657	3.39
11.160	199981	3.59
11.163	209459	3.76
11.167	217766	3.91
11.170	227150	4.08
11.173	235180	4.22
11.177	239207	4.29
